日期,代码,名称,收盘价,涨跌幅,成交量比,信号强度,操作建议
2026-01-19,000995,皇台酒业,12.9,0.08,0.46,100,【重仓出击】地量极致，洗盘彻底，大概率反转
2026-01-19,603956,威派格,6.86,0.15,0.64,60,【适度试错】形态标准，建议分批建仓
2026-01-22,600757,长江传媒,9.16,0.33,0.69,60,【适度试错】形态标准，建议分批建仓
2026-01-19,002701,奥瑞金,5.85,1.39,0.68,60,【适度试错】形态标准，建议分批建仓
2026-01-19,600226,亨通股份,5.89,1.2,0.64,60,【适度试错】形态标准，建议分批建仓
2026-01-19,000829,天音控股,10.62,0.38,0.58,60,【适度试错】形态标准，建议分批建仓
2026-01-19,002093,国脉科技,11.85,-0.5,0.61,60,【适度试错】形态标准，建议分批建仓
2026-01-19,600713,南京医药,5.52,0.73,0.69,60,【适度试错】形态标准，建议分批建仓
2026-01-19,002968,新大正,13.08,0.93,0.66,60,【适度试错】形态标准，建议分批建仓
2026-01-19,002174,游族网络,12.43,-0.72,0.56,60,【适度试错】形态标准，建议分批建仓
